reviewText,overall,sentiment,word_len,char_len
Buyer beware card unreadable from the get go. Luck for me amazon helped me out. There are many others on here that know how to format to Fat32 threw Window 7 and have had same issues.,1.0,Negative,36,183
"The description is quite confusing - it says at same time class 10, which means that you should not expect write speed higher than 10mb/sec, and at the same time, it says UHS-1, which means 30mb/sec write speed. The truth, as usually, is somewhere in the middle, but close to lower end. I have a dedicated, high speed PCI-E cardreader, which I use for chip benchmarking. So, this card showed 12mb/sec sequental write speed and 34mb/sec sequental read speed. So, UHS-1 is ""true"" only for read operations, meaning that if you wanted this card to speed-up your digital camera speed photography - you've made the wrong choice. Just for reference, this cardTranscend 16 GB Class 10 microSDHC Flash Memory Card TS16GUSDHC10has sequental write speed of 17mb/sec and sequental read speed of 24mb/sec. As you see, the cheaper transcend has average 40% faster write speeds!",1.0,Negative,144,863
06.NOV.2012 - Bought the card.12.JAN.2014 - Card failed.It cannot be formatted or used in any way.It lasted 14 months and most of that time I was not even using it.,1.0,Negative,30,164
"I love the 64GB capacity, and it is compatible with my devices.  I have one in Go Pro Hero3 and one in a Samsung Galaxy 7&#34; tablet.",5.0,Positive,27,134
"failed in my galaxy note after 8 months.lost all my pictures and videos that werent backed up.the card worked fine until suddenly wasnt being recognized on the phone or the computer.Sandisk honored the warrenty and sent a replacement and it works, but I am less confident about the product and afraid to lose data on it in later when i'm not prepared.",1.0,Negative,62,351
"While the class 10 speed is excellent (it's amazing when files will initially transfer at 200MB/s before settling down to ~19), you do need to use a reader with proper SDXC support, and manually format the card in a good partitioning program, like minitools or easeus. That alone should disqualify it from 5 stars, for lack of user-friendliness. But if it weren't for that, the fast, roomy card is a wonder to own.",4.0,Positive,73,414
No problem here. I use it in my Samsung Note 10.1. It is a little slow writing to it but such are micro SD cards.,4.0,Positive,25,113
"I use it for HD video recording, It work very well, no frame lost since I use this card. I have no measured the actual transfer rate, but it looks to be very fast when reading the movies from the SD, and I have no frame lost since I use this card.",5.0,Positive,52,247
"First of all I am not sure if the product i received is a CLASS 10 memory card. The reason why i say this is that the maximum write speed i get on my WINDOWS 8 system is 1.4 MB/Sec. Also i have issues with my system recognizing the card and i do frequently receive 'Disk Cannot Be Formatted' error.I am totally dissatisfied with this product considering the fact that i have a brand new laptop, Do not recommend SANDISK please check other brands.",1.0,Negative,84,446
"Started acting erratically after about a month, it's now been a little over a month and all my files are gone. Not all of them were able to be backed up. I hope I can get at least the pictures back. Glad the S4 backs up photos automatically...",1.0,Negative,48,243
"If you look through the reviews you will see that this card seems to have both a failure rate and a incompatibility with some devices. I bought this card in November of 2012 and it worked great for a while. The card started failing in my Galaxy Note 2 in the beginning of January. After reformatting and trying the card in other devices it still does not work. Please understand that this is not a user error but appear to be something wrong with the card itself. I have tried the card in 3 different phones. 1 with stock Jelly Bean, 1 with Ice Cream Sandwich, and 1 with a Cyanogenmod custom firmware. All 3 devices have problems and say ""blank sd card"" or ""unsupported filesystem"". Even formatting the card in both Windows and using Android do not seem to fix the issue. I was happy to find such a good price on a large microsd card but sadly it looks like you get what you pay for. It does appear that some people are having luck so it might be worth a gamble of $20 if you are feeling lucky. If you do buy this card it would be wise to double check your backup process to make sure you do not lose pictures or videos if you have this problem. I am glad I used dropbox for my phone so I did not lose any pictures or videos.",1.0,Negative,240,1226
I wished it came with some sort of USB converter so I can transfer files faster to my PC. I am using a Samsung Galaxy Note 2 and File transfer speed is mediocre.,5.0,Positive,33,161
Just started unmounting and remounting all by itself.  Really sucked the battery life for a while there. A quick google search showed this to be a common problem.  Oh well...,1.0,Negative,30,174
"Works in devices that say 32 gig max...Put one in my Casio 14.1 Mega PixelCamera and it says I can take 12,800pictures...",5.0,Positive,22,121
This item was priced right and fit right into my cell phone without any issues. Does what it is suppose to do and I don't know what else I could say. Being a class 10 it is suppose to be plenty fast for cell phone use which I am sure speeds up camera use to some degree. Has worked well and the shipping was fast.,5.0,Positive,65,313
"I got to of these cards:-  One in a Samsung Galaxy S3 => No problem so far.- One in my Asus tablet => No problem so far.Plenty of space, fast, format without a glitch. I will keep buying this product as needed until better comes on the market.",5.0,Positive,48,243
"Despite the Class 10 rating, this card has much slower write speeds than some others and there are numerous examples online of it not being fast enough to work with the high resolution video from the GoPro Hero 3 Black Edition. If you're using that camera, choose one of the cards recommended on their site.",1.0,Negative,55,307
"I bought the SanDisk 32 Gb micro SD card (class 10) in Dec for a new Galaxy S3. I used it for songs and video and pics. It started acting flaky in April and would unmount itself and then remount and I had problems with playing music. Then it completely died and would not even reformat. This is a known issue, and I will write back after I try to get SanDisk to replace it.",1.0,Negative,75,373
can't say enough about it ... just works perfectly every time ... wish I could say the same about people ... great product,5.0,Positive,23,122
"This card had rave reviews, so I decided to get it to use it with my new GoPro Hero3 camera.  I liked that it had a high capacity and it was class 10 which would allow me to maximize the features of my camera.  As soon as it arrived I popped it in to the camera for a quick test run and after it was successful I then packed it in my luggage for a snorkeling trip.  3 days into taking awesome footage with my camera this SD card started resulting in SD card errors which made my data unrecoverable.  Fortunately I still had some time in my trip to go get a different memory card with better reliability. These memory cards appear to be hit or miss, and in my case it was a miss.  I can not recommend this card for purchase.  It appears that this company has a problem with the Quality Control process, and you can see that reviews are either overwhelmingly positive or as is my case, 1 star/negative.  It looks as though they just accept a certain amount of faulty memory cards.  Unfortunately for me, I missed the window to return this card because I was travelling, and I am stuck with a useless micro SD card.  I've had better luck with Kingston, and Transcend brands. Lexar and Samsung have also served me well in the past.  I will no longer purchase any other SanDisk products and I wouldn't recommend that you would either, but if your are swayed by the reviews, make sure you thoroughly test what you purchase before you actually need it.",1.0,Negative,271,1445
Stopped working after a year and a half and lost a bunch of data. I have tried accessing the data useing multiple devices with no luck. Look elsewhere for an Micro SD card,1.0,Negative,33,171
"I have not had many problems with what I have bought over the years, but when I do I will make sure to warn others. I loaded a handful of videos from my PC and then installed this in my Android tablet for a trip. Corrupted. Nothing worked and sometimes it can be seen, other times it doesn't even show up. The tablet wants to format it, which it has never been able to do successfully, and needless to say it is too small to even be a paperweight. The SD adapter that it came with was also junk and upon the first time I went to use it, it simply didn't feel right--- so I used my trusty Lexar micro SD to USB that came with my Lexar 32gb micro SD card.I would have expected more and unfortunately as it stands many people have success with them working and equally those that do not. I have even formatted it to see if it made any difference and there was none. And of course my window of return is gone so unless the seller stands behind it--- it is going in the trash. I knew I should have gone with what I had purchased before as I have three of them working perfectly for over a year. Moreover what is even a bigger disappointment is that our camera that uses a standard SD card and it is a no-name with no identifying marks---- has worked for two years without a problem.I do know problems arise, but..... when the cost of a product goes up and up and the quality control goes down--- I am not going to be the one accepting those terms. If you're looking for a good card, search Amazon for this one: LSDMI32GBSBNAR. This is the Lexar and I have thousands of pictures, video clips, and it has even endured three updates to my phone--- plus I carry my phone everyday so it is subject to everyday life all the time, it has been tough stuff.",1.0,Negative,339,1743
"I have only had this for about 2 months and it is already dead. My GoPro doesnt see the memory card, my PC doesnt see the memory card, both of my laptops do not see it.",1.0,Negative,36,168
I had it for a day before it died and lost all my data. Not what I expected from SanDisk or any microSD card in this case.,1.0,Negative,27,122
I am now awaiting a replacement from Sandisk because it failed after the Amazon return period.  Always had good luck with Sandisk cards until now.  Phone and PC simply stopped seeing the card.  Lost all of my data (which i fortunately had backed up elsewhere).,2.0,Negative,45,260
able to capture 1080p full Hd on my blackberry z10 now.  with my other card i was only able to do 720,5.0,Positive,22,101
It is a good buy; it works great with my sports camera. It was well priced and I recommend it to all users of sport cameras.,5.0,Positive,26,124
"Love it, good quality good performance, great brand. Could not find better product for my money. Using it for a Samsung Galaxy S4 mini with zero complications.",5.0,Positive,27,159
My phone makes very high definition photos which makes a big size file. I do not transfer the files to the computer because I have plenty of space. Also it works faster than ever.,5.0,Positive,34,179
"With all the great reviews on this card, I picked this up for my Samsung Galaxy S III. Popped in the card, and I was happy taking pictures, saving files, and living life.Fast forward two months later, and all of a sudden, the card stops functioning. My phone won't read it any more. My computer won't read it either. Submitted a ticket to Sandisk. Hopefully I can get a replacement that actually works.Thank goodness I saved all my photos on Dropbox.",1.0,Negative,81,450
"These have issues with gopro, do not use. The transfer speed is inaccurate, and gopro has even admitted it doesn't support this.",1.0,Negative,22,128
"NOTE:  please read the last update (scroll to the bottom) - I'm leaving this review as 1 star as it appears to help others who purchased and had a similar experience.I give SanDisk 5 stars for customer service and 1 star for the product (for those manufactured in the past)  For those newly manufactured products that contain the software ROM fix, I'd give the product 5 stars.To all those who purchased this card due to all the great reviews.... and then used it in a Galaxy S4 (GS4) smartphone for storage, the solution to the problem is not one you can solve without returning the card to SanDisk for a replacement under warranty.  Believe me I tried everything that the Google searches returned as solutions... formatting as exFAT, formatting in the GS4 then copying data to the card while in the phone etc.... nothing worked... and so now please stop pulling out your hair and hopefully you will get the same result which I hope to get soon (just RMA'd and will send it back tomorrow for a free replacement under warranty).The problem (As confirmed from the SanDisk customer support rep when I asked specifically asked him):- When used in the GS4, this card will unmount itself inadvertently (may be true only for cards manufactured before the ROM patch described below was implemented in manufacturing).  This can cause the data to become corrupt (luckily was not my experience) and / or can be very frustrating as most of us are saving 13 MP camera pictures to the card (or MP4 movies that stop in the middle of the movie) and it unmounts when you view the picture in the gallery or worse, right when you take the picture (this was the issue I experienced).- SanDisk knows about this issue.  Again, SANDISK KNOWS ABOUT THE ISSUE AND WILL REPLACE YOUR CARD. Call them (info below) and they WILL take care of it under warranty.  They have a good name for a reason and they want to keep it. (sorry SanDisk about the 1 star, but I thought it was the way to get the message out to those searching for a solution)- The customer rep told me that SanDisk tried to work with Samsung to resolve the issue but Samsung refused to acknowledge a problem exists with this card and some of their phones (especially their flagship GS4 phones).- The customer rep told me that to their knowledge the card works fine in regular cameras (not Samsung GS4 phones with cameras, obviously) and even worked fine in some phones from HTC etc. that could accommodate the 64 GB cards. Hence the 5 star ratings from others.- The solution SanDisk came up with was to write a patch into the ROM of the card itself to specifically address the issue on Samsung GS4 phones (and maybe other Samsung phones like the GS3).  I was assured that the new card I would get would work flawlessly. will see in about 3 weeks.- I purchased my card from Amazon June 2013, so the ones currently being manufactured and the one I should get will have the new patch.  However, as SanDisk manufactures in batches (like most of the industry), old batches of ""unpatched"" cards obviously exist in warehouses.- I asked about a software patch I could download and was told it's not possible... hence the ""hard coded patch"" in the card's ROMSo... how to take care of the problem....After speaking with the SanDisk US customer support (link and info below), this is what I learned and did.Go to the SanDisk site1) [...]2) call consumer products support (this is the US no.) 1-866-SANDISK (726-3475)3) Tell them that the card is unmounting itself in your GS4 (I assume this is also a problem experienced by GS3 owners too)4) They will then confirm your information, approve your return (10-15 min approval window by mine was basically instantaneously), and then send you emails with a UPS return label and instructions.5) BTW, they also asked if I had a magnifying glass to ID the serial no. on the card, but I didn't and couldn't read it myself (those numbers are super small printed into the plastic... don't believe me?  take a look yourself.)  I told the rep I couldn't read them and he said no problem, they would process without the serial no.  I assume this is because they send you a new replacement card only when they receive your card you send in.  Makes sense.Well, that's it.  Problem (hopefully) solved.  Let's see in 2-3 weeks.  The rep was super nice about it and seemed like they were all too familiar with the problem.  KUDOS TO SANDISK FOR TAKING CARE OF IT... however, it would be nice if there was some type of communication / notice of the issue besides Google info sources, forums etc.  I spent hours, maybe a couple of days total hours worth, thinking it was an issue with my phone / my data transfer.  oh well, that's how it goes.I really hope that this review helps some of you out there with the same problem as me.  GOOD LUCK!!(btw, I'd give the card 5 stars if this problem was solved in the patched ROM of newer cards as the data transfer speeds are awesome on the card (tested transferring data via a card reader hooked to my computer)... if the data transfer / remaining mounted in the GS4 issue never existed (pre-patch of ROM, of course))UPDATE: 08/17/2013 - All went well with the return of the SanDisk Storage card.  UPS shipping took about 2 days from when I sent it, SanDisk verified the warranty claim 1 day later and 5 hours later that same day, my replacement card had been shipped. waiting on the new card now, but expect to test it out very soon (early next week).  will update the post after testing out the new card.  Just as a reference, I've been using a 32GB Micro SD HC SanDisk card in the GS4 since having shipped the 64GB card.  Obviously it's a different card and not the Micro SD XC kind. Other than a bit slower access speeds to the card, absolutely zero problems.... well if you don't count that it's basically filled up, hence why the 64GB option is great on the GS4. So it proves the point on the problem with the early build Micro SD XC 64GB cards.I'm happy to see that my review has helped some others out there.  Good luck to you in your warranty claim. my experience with SanDisk customer support has been excellent so far.Update: 08/21/2013 - Received the new replacement SanDisk Storage card just a few days ago (shipping back to me once they agreed it was defective was a very short time window).  Have had it running in the Galaxy S4 for a few days now without any jumps, stutters or card unloading in the middle of picture or video taking.  Card seems to work flawlessly as the SanDisk Rep mentioned it would. One would think it's such a short time to test after a few days of use, but if this were not fixed already it would have dismounted in the first 45 minutes... that's how often and how fast it was occurring. so it would seem the problem is solved. The new SD card makes the phone even more responsive when moving between pictures in the gallery and performing other tasks like copying files to the card.  Thanks SanDisk!  Unless I update this review by next week, you will know that the problem has been fixed.Good luck to those with similar problems as we now know how to get it fixed thanks to SanDisks great responsive customer service.Update: 08/31/2013 - This is the last update to this review just to ""close the loop"".  The new replacement card from SanDisk has been running flawlessly for about 2 weeks now.  I have not experienced any of the initial problems.  SanDisk really did fix the issues in the new batch of cards.Update: 12/09/2013 - The card has been running in my GS4 flawlessly since replacing it around Aug 21st.  Pretty good track record so far (~ 3.5 months) so it appears to be fixed with the newly manufactured (replacement) cards.For those that have left comments that I should change the rating upwards now that the issue is fixed (see my addition at the beginning of this review)... When searching for a solution to a problem with a purchased product, most people start at the 1 star reviews to see what others have experienced.  This is especially true for products with a lot of reviews (this is what I did in the beginning with this product).  Therefore I think leaving it at 1 star and adding the comments at the beginning should clarify the review.Thanks to review commenter ""Da Shocker"" for his input.  I think he sums it up very well when it comes to the value of files stored on media like this:""One more thing.. to those not happy with the one star rating by this person go ahead buy one. Take tons of pics vids and save some music on there then when the card crashes come back and give it a five star. A card cost $50-$100 pictures from a vacation or family event are priceless.. """,1.0,Negative,1554,8638
"April 2013.  I have had the card for about 4 months and seemed to work fine.  I use it to store additional files on my ultrabook as the solid state drive is small (only 128GB).  About a month ago, the card could not be recognized.  It only lasted about 2 hours, so I thought maybe just a momentary blip.  However, this weekened, it cannot be recognized at all and it has been 3 days.  Sandisk support is not available until the week, so I will update on tech support soon.  However, I did find that the SanDisk indicated there was a defect with some of these cards.  I assume they will replace it, but I have lost lots of hours and a lot of pictures... so I am really bummed and frustrated.From SanDisk: ""SanDisk has been made aware of potential product issues involving a very small percentage of its 32GB and 64GB SanDisk Mobile Ultra microSD cards. Under certain circumstances the cards may lock up and the card becomes inaccessible. The issue has been identified and a manufacturing fix has already been put in place. SanDisk stands behind its products and any customer who experiences this issue with the microSD cards cards is asked to contact the SanDisk support center for a resolution immediately."" SanDisk",1.0,Negative,215,1215
I used it in my Droid Razr Maxx HD and it kept unmounting itself.  Then it became unresponsive and all my data was lost.  Now it isn't recognized by my phone or my laptop.  Dead in the water.,1.0,Negative,38,191
"Beware guys. i bought one of these from Superior Electronics Outlet and it arrived completly dead. i tried to format it on windows and on my galaxy s3 and no go.I tried everything that possible ....have been fighting with this card for 3 days now, and no success so far. No response from the seller about it.My last hope is amazon refund me. otherwise  i just wasted 80 U$",1.0,Negative,69,372
"Sorry to say but I have to pull down rating from 5 to 2. The card went bad in just couple of months. No option to return as its beyond policy.The card came on time, good packaging and works so what else to add for this 16 GB SD card.",2.0,Negative,50,233
"Works great in my Samsung phone. Fast Enough to not really notice it is here.Came with an app that  shows disk usage both on card and internally, as well as Drop Box. Slightly useful.===Update: 1 year later it's become completely unreadable by any device. I was about to throw it out until I noticed that the warranty on this is pretty good. Contacted SanDisk, sent the old one back, and received a new card in a week. Bugs me that it stopped working -- it went from working to completely unfunctional in about 2 days. During that time the devices were complaining about corruption every couple of times.",5.0,Positive,108,604
"The product shipped fast and actually came in a few days early. I read about some people having problems with this card. When I got it, first thing I did was format it. Also make sure your device is compatible with SDHC cards. I have had no problems. Very fast read/write speeds. A little over 29 GB actually available for storage. I am pleased.",5.0,Positive,64,345
"UPDATE:This card stopped working as of late February 2013, after only about 2 months of regular use.  There are 492 similar complaints about this card (now 493...) and this is 17.5% of 1 star out of 2918 reviews...  At first I thought it was my phone not being able to find it, or the card would often spontaneously dismount, and there were the frequent and repeated alerts for me to format the card.  Formatting the card only cured the problem for a day or two...  Plugged it into the desktop directly, and the same thing happened.  Got another card of another brand, and everything has been working well since early March 2013 with the other card. So it was not the phone but the card that is at fault.  Very poor longevity. The price is right, but at the end not worth it if you need to buy another card to replace it.  Amazon only covers 30 days..., so consider this a very expensive 60 day experiment if you are willing to try this brand of card...  Would NOT recommend.",1.0,Negative,180,975
It Failed. It only worked 3 months.I used it in a Galaxy S3 phone. It seems that this brand has an issue with this model.I lost the information.,1.0,Negative,28,144
"The product is OK, but my card does not acheive the rated write speed of 10 MB/sec.  Most applications probably don't need to hit 10 MB/sec, but my GoPro Hero 3 does need the full bandwidth and thus would bomb on me sometimes.  As tested, my card got between 8-10 MB/sec using the larger block sizes.  I complained to Sandisk about it and they allowed me to send it in for a replacement which I did (and took almost 2 weeks), but the replacement behaved the same way.  I would say this card is OK for most applications, but if you need top end speed, I would go with another card.  I bought my card in May 2013 and had it replaced in August 2013 so hopefully they have fixed this problem by now.",2.0,Negative,134,695
"I use it in my Note2. It does what it's supposed to do, and extends the storage capacity for this great phone!",5.0,Positive,22,110
love it and love sandiski have had a SD fail and they replaced it. so i felt no reservations about buying this over another brand and have had no problems.,5.0,Positive,30,155
"SANDISK is now processing my RMA.  It was used in my Galaxy Note 2.  Its been over a week since I mailed it out. Fortunately they paid for shipping, but while it was working, it was awesome.. 64 gigabytes of class 10 accessible data, at the hands of your finger tips, literally MICRO SD sized.  wow, how technology has improved.",4.0,Positive,60,328
Performance and capacity were not in line with cost and expectations. These are most likely counterfeit or back door sales in my opinion. Very unsatisfied.,1.0,Negative,25,155
Put this in the Samsung S5.  Works great.  stores lots of pictures and is easy to load and unload. you can also download the pictures to your computer easily.,5.0,Positive,29,158
"This Micro SD card is perfect for any smartphone user looking to expand the storage on their device. I personally am using one in my Samsung Galaxy Note 3. Works like a charm. It is adequately fast, cheap, and fairly reliable. If you are looking for extremely fast speeds however, you should consider the SanDisk Extreme series which are the fastest MicroSD cards in the world. My card came with an adapter that this card plugs into and it becomes a full sized SD card. If you are looking to use this in a camera or any other device that uses SD cards, please look elsewhere. These cards are not nearly as fast as the full sized SD cards used in cameras. The adapter should only be used for transporting data from the phone or other device, to a computer. All in all, these are a great buy for any smartphone user looking for a higher storage capacity. The price fluctuates often, so catch em while there cheep! I got mine for around $30.",4.0,Positive,174,938
"What can I say that hasn't said already for this product, very fast delivery, excellent packaging, right price and it works perfect with my Samsung Galaxy SII.Looking forward to buy a 64GB for my new S4",5.0,Positive,36,202
"As others have found, these cards do not last. Mine died in less than 2 months. Lost several photos that I had not backed up yet. The warranty replacement died within 3 months.Go with another brand. I've been using a Kingston and so far, 9 months later, still working.",1.0,Negative,49,268
Got here within a couple of days of ordering.  Easy to install and works great.  I wanted extra storage and this was right size for me.,5.0,Positive,26,135
"I bought two of these from a major electronics retailer to make sure I don't get a bootleg one and they both crapped out on me. I usually buy from amazon but I needed them rig away . So unless that company has bought a large batch of bootleg cards or maybe I'm retarded. I bought them from the same store but different locations. I have switched brands now. Not taking anymore chances just in case a flood of bootleg ones hit the retail chains too. It worked fine at first but as the card filled up both times, both times they died and my pc or phone couldn't reformat it or recognize it. Good luck if you buy this major name brand, I thought they were the best too but not for me I guess.",1.0,Negative,136,689
"I picked this up as a deal of the day.  No issues at all.  Put it in my phone, and then connected the phone (Galaxy S4) to the computer and dropped music and pictures in the folder and everything was quick and easy!",5.0,Positive,43,215
"Most of my reviews are positive.  This product failed (could not read on my device (a Galaxy S3) nor on my computer with 2 different readers) in less than 30 days.  The customer support is also unhelpful, as they would only replace the card after many questions, they would not provide a refund (I did not want a replacement of a card that failed so quickly).I would suggest buying a different card, it is not worth the hassle and lost data to save a couple of dollars with buying this one.",1.0,Negative,91,490
Had the 32GB SD Card for a 4 months before it died on me. Tried to swap it out and said warranty was only 60 days long. Last SanDisk product I ever buy.,1.0,Negative,33,152
I can't read or write anything on this card on my PC or my GS3. I am pretty sure that I got a dud.,1.0,Negative,24,98
"Bought this to add storage to a Sansa Fuze MP3 player.The card formatted correctly and works quite smoothly with the device.I also tried it using the adapter, in my Kodak digital camera and it was recognized instantly.  Pictures were saved quickly, allowing the camera to shoot again without undue delay.",5.0,Positive,50,304
What else can you say about SanDisk...they have the products that do the job for everyone who needs solid trust!,5.0,Positive,20,112
"I was using mine in a GoPro Hero 3.  The card just broke for no reason.  There is controversy weather its the GoPro or SanDisk, but after doing some Google research it seems that its more of SanDisk's fault as these SD cards also fail (or used to) in varies Samsung devices (phones / tablets).  Amazon sent me a replacement, so no harm done, but for the money you would expect something top notch.GoPro users (on the support forums) recommend getting 2x32GB SD cards, which have not had any issues as far as anyone knows.  The worst part is losing important content, I was lucky, I copied my movies from the SD card onto a HD on my PC.  Others not so lucky.",1.0,Negative,123,657
"I have had this for 8 months, and the SD Card already stopped deleting files and keeping pictures.  I have tried reformatting, and nothing helps.  Not cool.Update - April 2, 2014 - I contacted Sandisk and I am sending the problematic card back for warranty replacement.  I hope this will resolve the issue with the card.  I will keep you updated once the process is complete.",1.0,Negative,66,375
"im so upset right now it just died , turned on my phone and all my movies pics music all gone. card just died after three months bullcrap.",1.0,Negative,28,138
"Bought this for Galaxy S3, worked like a charm for 3 months & then I started getting error messages on phone stating the card has been taken out or that it is not there, went on like this for a week or so & then one day gone. Initially I thought it was problem with phone. Popped in a 2Gb card from BB & it worked. Popped this one into the BB & same, no detection. After spending so much on an SD card its disappointing to see it go bust outside of return period.",1.0,Negative,95,463
"Atto Speed rating 2.7MB/sec write and 2.8MB/sec read.That barely makes it class 2, not class 10 as advertised.This is second time I have to return a slow card, I hope negative reviews will help bring attention to the widespread problem.",1.0,Negative,40,236
"I bougth this micro SD card after some trubles with other that i got from Kingston, i can tell that SanDisk is other quality, this is the best, my i9300 phone can read a 64GB very fast, the dta transfer speed from my pc to my is amazing, if you are looking for additional storage to you phone, for music, pictures and other type of files, this is for you.Pros-Very good quality materials of construction-Amazing speedUpdate after one year this memory is damaged I can not delete or put new files on it, I can not format this memory, I tried to format with my phone, with my pc, with a camera and nothing, now this is like a 64gb cd, the data in the memory is only available to read but I can not move, or delete it, I bought this memory to be used to backup all my data of my android device but now is only a readable memory I can not write data on it any more, I hope sandisk make a better products in the future!!! Total disagree I will buy a Samsung memory card expected a better quality.",1.0,Negative,194,991
"If you were looking for a class 10 microsd card in order to DIRECTLY transfer files from your PC to your phone the fastest way possible you can go with a cheaper class 4 instead of this one. The speed is not much different than other class 4 microsd cards I've had. It's very far from the 30mb/s they promise, I got only about 4.5mb/s AT MUCH, and after a few minutes it's downhill from there. I tested on both windows and linux and didn't see a difference. Luckily there's not a lot of difference in price between a high quality class 4 and this one but then again, maybe I didn't look at the class 4 the way I should have since I was focused on getting a class 10. Oh well, you've been warned. Don't expect magic from this card.UPDATE 12/11/2013: Sandisk proactively answered this review to ask me to contact them. The reason I didn't contact them first it's because you usually receive slimy answers from this tech support and hardly any solution or help. It is indeed a waste of time. After sandisk comment I contacted them through one of their live chat agents and this is the interchange. My suspicious were confirmed and I indeed wasted my time:Daniel S.: Hello, thank you for contacting SanDisk. My name is Daniel S.. Please give me a moment while I look into your question.fer da: heyfer da: i just got this answer from sandisk:  http://www.amazon.com/review/R3EMA7XPN7IDZD/ref=cm_cd_notf_message?ie=UTF8&cdForum;=FxFNZEI17MH7ND&cdPage;=1&cdThread;=Tx7VKC9UPWNI9X#Mx3FKEEV0WIILE3Daniel S.: Please tell me what is written on the face of the memory card?fer da: never thought of contacting you because i thought i was just going to waste my time, but it was nice to be contacted proactively by youfer da: okfer da: the same thing as the one on the picturefer da: sandisk ultrafer da: microsdhc Ifer da: 32gbDaniel S.: Please allow me a moment.fer da: will you need more info from the card?Daniel S.: The Sandisk Ultra card is a UHS-I card and provides optimum performances when used with a UHS-I enabled device or card reader.fer da: my phone is off.. lolfer da: it says that it is a class 10 card, i bought it because of the promise of better speeds than the regular class 4 when using it with my phoneDaniel S.: I would like to inform you that you will get the minimum read speed of 10 mbps on a UHS-I enable device as the card is built on the UHS-I technology.fer da: and write speeds?fer da: i'm getting like 4mb/sfer da: a far cry from the 30 MB/s2 promisedDaniel S.: I would like to inform you that so I said the card is built on the UHS-I technology it will give the optimum speed with an UHS-I enable device.Daniel S.: You will get the minimum write speed of 10 mbps with an UHS-I enable device.fer da: okfer da: waste of time confirmedDaniel S.: I would like to inform you that if you'll use this card with an UHS-I enable device it will give you the optimum speed as it's promise.Daniel S.: Is there anything else I may assist you with?***removed one star because of the sliminess of contacting me via amazon to show ""sandisk cares"" but not really offering any real support when contacted.",2.0,Negative,548,3106
Works great - I purchased two; one for my new cell phone and one for my new tablet.,5.0,Positive,18,83
First of all Amazon has shipped the mobile version of this card. It is different that what was listed on the page. There goes a star for incorrect shipping. And the item has stopped working after a week in my Surface tablet.,2.0,Negative,42,224
"I have exclusively used Sandisk Extreme cards in my pro photography gear for years and they have NEVER let me down. This one is a dud, though. I plugged it in, let my phone format it, and then start copying to it. Everything copied just fine, but after I got done, that's when it started acting up.If I had my phone plugged into the computer and was using it as a storage device, I got tons of CRC errors and/or messages saying that I needed to format the card before using it. The phone would come up from time to time saying that I had inserted a blank card. If I reboot the phone, it works fine for a little bit, and the errors would start again. I thought maybe it was the way the phone formatted, so I tried to format it on the computer, but that didn't help anything.Very frustrating! Thankfully I've had it for 2 days before the trouble started, so it's going back to Amazon for a refund and I'll have to find a more reliable card for my phone.",1.0,Negative,184,951
"Had to format on my computer because I wanted to use with AOKP and needed to get FAT32, but once done the performance has been excellent :)",5.0,Positive,27,139
"I've only had this Memory card for 3.5 weeks and it not only has recently started resetting, it intermittently loses contact with my Cell phone and the memory is lost, erasing everything on it!!!!!! Now I find out my return date has past and I'm stuck with a peice of s*** memory card that I can't do a damn thing about! Thanks a lot for nothing! I will never buy direct from here again!Also, I didn't realize I was supposed to have an adapter too? wow where the heck is that at???",1.0,Negative,92,481
"Works great.  Use it in my Galaxy Note 3 to store music, files, etc.  The adapter is handy for transferring files from PC to card without using a USB cable and going through the phone - seems to go faster.  Still can't believe they can cram 64 GB (shows up as just under 60 on the phone, by the way) on something the size of a fingernail.",5.0,Positive,67,338
"It's an sd card, this one's fast. The read and write speeds are pretty equal on this one. Approaching 20mbits per second for read and write. I installed linux to this drive for my cubieboard. Yeah, read and write speed would definitely be an ultimate determiner of over all system performance with this credit card sized computer.Sandisk makes nice stuff don't they?",4.0,Positive,62,366
"So far, no complaints. Excited about the price. Excited about the size. I only hope my files won't get erased randomly. I will try to update this in a few weeks.",5.0,Positive,31,161
THIS CARD DIED IN LESS THAN ONE MONTH IN MY SIII LOST 400 PICTURES VALUABLE PICTURES AND INFORMATION DO NOT BUY.,1.0,Negative,21,112
"DO NOT PUT ANY IMPORTANT DATA IN IT. DO NOT USE IT AS A PERMANENT STORAGE TO ARCHIVE IMPORTANT FILES.It just failed after 1.5 months use -- i don't use it too much. Just put all my digital pictures (total: about 30GB) in it and carried in my wallet. I added some more pictures to the disk for a few time in November. Tonight, when I insert it into my laptop, Windows say cannot recognize the disk and said it must be formatted. I tried my MacBook Air and got the same. Neither Mac nor Windows can read it. I formatted it and started to copy the 30+GB pictures again. The copy broke in half way. Cancelled the copy, reinserted the disk and tried to resume the copy. Windows said the volumn is back and told me I must run chkdsk. I ran chkdsk and retried the copy. Still the same failure.I guess the disk has some problem and I don't bother recovering it, since it's not going to be reliable as I expected. Very disappointed. Thought SanDisk is a very good brand. I use SanDisk's CF card in my camera for years and it worked fine. I will fall back to use hard disk to backup my ditigal pictures.So it should be find to use this microSD disk to exchange some large file with friends. But don't put important data in it. Be prepard that it can fail at any time.",1.0,Negative,242,1257
